Experiment,TA,Course,Hours Assigned,Eligibility Code,Marker Type,Pay Rate,Relative Cost
experiment_3_strong_fairness_low_cost,A,C01,11.583,1,Assigned TA,1.0,11.583
experiment_3_strong_fairness_low_cost,A,C03,38.667,1,Assigned TA,1.0,38.667
experiment_3_strong_fairness_low_cost,A,C05,6.5,2,Secondary marker,1.3,8.45
experiment_3_strong_fairness_low_cost,B,C01,56.75,1,Assigned TA,1.0,56.75
experiment_3_strong_fairness_low_cost,C,C00,10.417,2,Secondary marker,1.3,13.542
experiment_3_strong_fairness_low_cost,C,C02,46.333,1,Assigned TA,1.0,46.333
experiment_3_strong_fairness_low_cost,D,C05,56.75,1,Assigned TA,1.0,56.75
experiment_3_strong_fairness_low_cost,E,C04,56.75,2,Secondary marker,1.3,73.775
experiment_3_strong_fairness_low_cost,F,C04,56.75,2,Secondary marker,1.3,73.775
experiment_3_strong_fairness_low_cost,G,C04,56.75,2,Secondary marker,1.3,73.775
experiment_3_strong_fairness_low_cost,H,C00,20.583,2,Secondary marker,1.3,26.758
experiment_3_strong_fairness_low_cost,H,I1,8.667,2,Secondary marker,1.3,11.267
experiment_3_strong_fairness_low_cost,H,C05,21.75,2,Secondary marker,1.3,28.275
