Experiment,Course,Required Remaining Load,Assigned Hours,Difference
experiment_1_balanced,C00,31.0,31.0,0.0
experiment_1_balanced,C01,68.333,68.333,0.0
experiment_1_balanced,C02,46.333,46.333,0.0
experiment_1_balanced,C03,38.667,38.667,0.0
experiment_1_balanced,C04,176.0,176.0,0.0
experiment_1_balanced,I1,8.667,8.667,0.0
experiment_1_balanced,C05,85.0,85.0,0.0
experiment_2_fairness_focused,C00,31.0,31.0,0.0
experiment_2_fairness_focused,C01,68.333,68.333,0.0
experiment_2_fairness_focused,C02,46.333,46.333,0.0
experiment_2_fairness_focused,C03,38.667,38.667,0.0
experiment_2_fairness_focused,C04,176.0,176.0,0.0
experiment_2_fairness_focused,I1,8.667,8.667,0.0
experiment_2_fairness_focused,C05,85.0,85.0,0.0
experiment_3_strong_fairness_low_cost,C00,31.0,31.0,0.0
experiment_3_strong_fairness_low_cost,C01,68.333,68.333,0.0
experiment_3_strong_fairness_low_cost,C02,46.333,46.333,0.0
experiment_3_strong_fairness_low_cost,C03,38.667,38.667,0.0
experiment_3_strong_fairness_low_cost,C04,176.0,176.0,0.0
experiment_3_strong_fairness_low_cost,I1,8.667,8.667,0.0
experiment_3_strong_fairness_low_cost,C05,85.0,85.0,0.0
